,,high_cut,mean_std,median_std,comb_std
7,0,0.37,1509.625477479555,1238.4618441463979,1173.5915956442911
7,1,0.42,1301.3140472528494,1101.5476504865942,1039.3579075763373
7,2,0.47,1232.3789142743062,1064.9702293446408,1012.9715773428481
7,3,0.52,1198.5411988949195,1107.7445863195062,1065.1276773872419
7,4,0.57,1042.1554609275213,1040.077922128351,996.5828898059846
7,5,0.6199999999999999,1038.3574460030384,1039.1203070219751,995.2009825932047
7,6,0.6699999999999999,1023.0749336788501,1040.4791590195239,993.16672616816
7,7,0.72,1014.650147672782,1039.5063406929191,987.7270498817783
7,8,0.7699999999999999,1003.885827475076,1038.9676095162022,985.1844129382312
7,9,0.8199999999999998,1027.5566984618524,1053.9496078719726,1004.7647269230996
7,10,0.8699999999999999,1062.334922648456,1107.2773930624337,1062.3069762115838
7,11,0.9199999999999998,1186.9700732644794,1188.7647528352393,1147.867719570707
7,12,0.9699999999999999,1424.7163712883475,1438.4062494226903,1386.8376606940349
